hex,abbr,decimal
a614f803b6fd780986a42c78ec9c7f77e6ded13c,USDT,6
403e0ffca231f60f8d3ebad426f77aa6b507309d,WBT,8
032017411f4663b317fe77c257d28d5cd1b26e3d,BTT,18
94f24e992ca04b49c6f2a2753076ef8938ed4daa,USDDOLD,18
3dfe637b2b9ae4190a458b5f3efc1969afe27819,NFT,6
891cdb91d149f23b1a45d9c5ca78a88d0cb44c18,WTRX,6
6b5151320359ec18b08607c70a3b7439af626aa3,SUNOLD,18
b4a428ab7092c2f1395f376ce297033b3bb446c1,SUN,18
18fd0626daf3af02389aef3ed87db9c33f638ffa,JST,18
388dd321d83a6754eb37ea34306e7ded72bf20c1,FMC,8
e502b4b79e6a1d66dcc59b1f18bfe398be4b2992,FLUX,8
cebde71077b830b958c8da17bcddeeb85d0bcf25,TUSD,18
6b13438bba4433bd321cab5c684131899ac44322,USDH,6
74472e7d35395a6b5add427eecb7f4b62ad2b071,WIN,6
3487b63d30b5b2c87fb7ffa8bcfade38eaac1abe,USDCOLD,6
ea4e3dfacdf6d5b25f74ce4b689d79105043583c,SUNDOG,18
e2dd5164fd9c3965cebe8d0849520f7f4465ca76,HTXunion,18
3e5fba224c32a32d88aca00a52594c06e4b5eabb,PROS,18
a7a572f6d8b4ca291b9353cf26580abed74f3e31,ETHB,18
834295921a488d9d42b4b3021ed1a3c39fb0f03e,USDJ,18
a54bd6077b2eb012d92d9563ff15d2199d8123de,LTC,8
e792723ac7310f07be5d0c94d734148dd46496fe,PUSS,18
53a58d995ef4937017a8ab47722186a12a27905e,DOGE,8
09ff4a4faf45a4035205cee1d5125a560759a77b,BULL,18
4e10a065096311d6370e13aa0870534d76ef0dfc,REA,6
ec51baf14488ec651270ccc409afda2818af74f2,WETH,18
a8206c1fda9ed9c73e787ea1da2ac75a354df2e1,CZC,18
d8b8089856ced3038601cbeb1e3f765cabc12a41,KLV,6
96170b3a9c9d2b25c8f0371748730365a7d8e20e,TBULL,18
09117d86dafc9856a32cf53a2753e0d550aa57ba,BCN,6
29db641618676054ec3d9f2e0e7ec2965956cbb0,$Afro,18
5db073930d8b3b4f5bf0e333d4b36c10c0f51de5,MOON,18
0a955a2e79ef21f3c16a2102214281bf12f21a39,SUNCAT,18
6cd83e596a66a7c99b9281b12e2b123c06afeee6,IBS,18
aeee06d6de1e3d65864a0765104599e2315d4dc5,CCC,18
83c91bfde3e6d130e286a3722f171ae49fb25047,BUSDOLD,18
8f793a97122706692fd97e58fbd7703125d722b5,SUNWUKONG,18
aba32391aefb7d99462bedd4386d58047d2f323a,MST,18
1a3d4a36dac458bd02393c91907e871011ac3da9,TC,4
2c7d76e4709fc6acba784d7a3f326cc2cee8d03d,MUNCAT,18
e212e643811a260ea06237334c2ed2f704f69fa8,RON,6
903bdc1c638cc289cdae65bec0fd2f6d0c0443e7,VIKITA,18
b7ba8910f0f1afaab8d6156e45dc1ef06788f817,IVfun,18
bda039733bf8d1343b630de7a617c531a181bc88,TWX,18
4b93a42e36866698892e03d134300e87ba54777a,SENN,18
c895f64ccf06e60b777acad85ad5adc22aca4b48,FOFAR,18
a4c742b03014d2fd0e45e8a3b307b7bfb9f0f186,XLG,18
4aebfac95549c3c31485a6e19b3da505ee5ef865,ZHZ,18
624b3caaa8eca31ca1416facd436fe7fcfc36e85,ROCK,18
0e1dc7c20e82cf650fcd8d02771c7b1a5946e83e,PSYOP,18